"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Colombia","2014","Not applicable","Not applicable","Number","24.90129"
"Colombia","2013","Not applicable","Not applicable","Number","25.49841"
"Colombia","2012","Not applicable","Not applicable","Number","25.39509"
"Colombia","2011","Not applicable","Not applicable","Number","25.58137"
"Colombia","2010","Not applicable","Not applicable","Number","27.14634"
"Colombia","2009","Not applicable","Not applicable","Number","26.65632"
"Colombia","2007","Not applicable","Not applicable","Number","25.2348"
"Colombia","2006","Not applicable","Not applicable","Number","27.36572"
"Colombia","2005","Not applicable","Not applicable","Number","26.17165"
"Colombia","2004","Not applicable","Not applicable","Number","24.64723"
"Colombia","2002","Not applicable","Not applicable","Number","20.92474"
"Colombia","2000","Not applicable","Not applicable","Number","19.19542"
"Colombia","1999","Not applicable","Not applicable","Number","17.91693"
"Colombia","1996","Not applicable","Not applicable","Number","19.15089"
"Colombia","1995","Not applicable","Not applicable","Number","21.0487"
"Colombia","1994","Not applicable","Not applicable","Number","20.94314"
"Colombia","1993","Not applicable","Not applicable","Number","21.08985"
"Colombia","1992","Not applicable","Not applicable","Number","20.58411"
"Colombia","1991","Not applicable","Not applicable","Number","19.85892"
"Colombia","1989","Not applicable","Not applicable","Number","19.8784"
"Colombia","1988","Not applicable","Not applicable","Number","19.88935"
"Colombia","1987","Not applicable","Not applicable","Number","19.90078"
"Colombia","1986","Not applicable","Not applicable","Number","19.94919"
"Colombia","1985","Not applicable","Not applicable","Number","20.15015"
"Colombia","1984","Not applicable","Not applicable","Number","20.28568"
"Colombia","1983","Not applicable","Not applicable","Number","20.18309"
"Colombia","1982","Not applicable","Not applicable","Number","20.14648"
"Colombia","1981","Not applicable","Not applicable","Number","20.21892"
"Colombia","1980","Not applicable","Not applicable","Number","20.35816"
"Colombia","1979","Not applicable","Not applicable","Number","20.34494"
"Colombia","1978","Not applicable","Not applicable","Number","20.39189"
"Colombia","1977","Not applicable","Not applicable","Number","20.26675"
"Colombia","1976","Not applicable","Not applicable","Number","19.75379"
"Colombia","1975","Not applicable","Not applicable","Number","19.45419"

